Date,Adj Close,Close,High,Low,Open,Volume
2022-09-15,373.8998107910156,390.1199951171875,395.9599914550781,388.7799987792969,392.9599914550781,87633800.0
2022-09-16,371.0473937988281,385.55999755859375,386.25,382.1099853515625,384.1400146484375,103084800.0
2022-09-19,373.9248046875,388.54998779296875,388.54998779296875,382.17999267578125,382.260009765625,73278500.0
2022-09-20,369.6326599121094,384.0899963378906,386.1199951171875,381.20001220703125,385.05999755859375,77274900.0
2022-09-21,363.1849060058594,377.3900146484375,389.30999755859375,377.3800048828125,386.1099853515625,106746600.0
2022-09-22,360.1341552734375,374.2200012207031,378.29998779296875,373.44000244140625,376.5799865722656,89472600.0
2022-09-23,354.1001892089844,367.95001220703125,370.6199951171875,363.2900085449219,370.5799865722656,122346900.0
2022-09-26,350.59716796875,364.30999755859375,370.2099914550781,363.0299987792969,366.4100036621094,92581200.0
2022-09-27,349.7022399902344,363.3800048828125,370.3999938964844,360.8699951171875,368.0199890136719,108294100.0
2022-09-28,356.58306884765625,370.5299987792969,372.29998779296875,362.6000061035156,364.3800048828125,110802200.0
2022-09-29,349.1344299316406,362.7900085449219,367.1099853515625,359.70001220703125,366.80999755859375,112952300.0
2022-09-30,343.735595703125,357.17999267578125,365.9100036621094,357.0400085449219,361.79998779296875,153711200.0
2022-10-03,352.81060791015625,366.6099853515625,368.54998779296875,359.2099914550781,361.0799865722656,89756500.0
2022-10-04,363.7430114746094,377.9700012207031,378.0,366.57000732421875,372.3999938964844,103602800.0
2022-10-05,362.8961486816406,377.0899963378906,379.4599914550781,370.95001220703125,373.3900146484375,88065700.0
2022-10-06,359.1526184082031,373.20001220703125,378.7200012207031,372.67999267578125,375.6199951171875,82333500.0
2022-10-07,349.1344299316406,362.7900085449219,373.2900085449219,360.94000244140625,368.9700012207031,107789500.0
2022-10-10,346.4686584472656,360.0199890136719,364.2099914550781,357.6700134277344,363.9599914550781,76042800.0
2022-10-11,344.2745056152344,357.739990234375,363.0299987792969,355.7099914550781,358.239990234375,92482800.0
2022-10-12,343.1388854980469,356.55999755859375,359.82000732421875,356.29998779296875,358.1700134277344,76991800.0
2022-10-13,352.1947326660156,365.9700012207031,367.510009765625,348.1099853515625,349.2099914550781,147254500.0
2022-10-14,344.16864013671875,357.6300048828125,370.260009765625,356.9599914550781,368.54998779296875,123737000.0
2022-10-17,353.01275634765625,366.82000732421875,367.9800109863281,357.2799987792969,364.010009765625,93168200.0
2022-10-18,357.1604919433594,371.1300048828125,375.45001220703125,367.5199890136719,375.1300048828125,97162900.0
2022-10-19,354.6294860839844,368.5,371.8500061035156,365.54998779296875,368.989990234375,79746900.0
2022-10-20,351.6557922363281,365.4100036621094,372.6700134277344,364.6099853515625,368.0299987792969,88283100.0
2022-10-21,360.2015380859375,374.2900085449219,374.79998779296875,363.5400085449219,365.1199951171875,131038400.0
2022-10-24,364.6091613769531,378.8699951171875,380.05999755859375,373.1099853515625,375.8900146484375,85436900.0
2022-10-25,370.43145751953125,384.9200134277344,385.25,378.6700134277344,378.7900085449219,78846300.0
2022-10-26,367.64056396484375,382.0199890136719,387.5799865722656,381.3500061035156,381.6199951171875,104087300.0
2022-10-27,365.6773986816406,379.9800109863281,385.0,379.3299865722656,383.07000732421875,81971800.0
2022-10-28,374.37713623046875,389.0199890136719,389.5199890136719,379.67999267578125,379.8699951171875,100302000.0
2022-10-31,371.6728515625,386.2099914550781,388.3999938964844,385.260009765625,386.44000244140625,96631300.0
2022-11-01,370.0465087890625,384.5199890136719,390.3900146484375,383.2900085449219,390.1400146484375,85407600.0
2022-11-02,360.75970458984375,374.8699951171875,388.6300048828125,374.760009765625,383.8999938964844,126990400.0
2022-11-03,357.0450134277344,371.010009765625,374.20001220703125,368.7900085449219,371.4700012207031,87100100.0
2022-11-04,362.1839599609375,376.3500061035156,378.8699951171875,370.0,377.0,103505200.0
2022-11-07,365.64849853515625,379.95001220703125,380.57000732421875,375.5299987792969,377.7099914550781,68286900.0
2022-11-08,367.621337890625,382.0,385.1199951171875,377.7200012207031,381.1099853515625,84641100.0
2022-11-09,360.047607421875,374.1300048828125,381.1400146484375,373.6099853515625,379.92999267578125,78495500.0
2022-11-10,379.8337097167969,394.69000244140625,395.0400085449219,385.6400146484375,388.04998779296875,141455800.0
2022-11-11,383.5099182128906,398.510009765625,399.3500061035156,393.6099853515625,395.5899963378906,93839900.0
2022-11-14,380.2474365234375,395.1199951171875,400.17999267578125,394.8299865722656,396.6600036621094,71903500.0
2022-11-15,383.49066162109375,398.489990234375,402.30999755859375,394.489990234375,401.1499938964844,93194500.0
2022-11-16,380.56512451171875,395.45001220703125,397.7799987792969,394.7900085449219,396.7799987792969,68508500.0
2022-11-17,379.400634765625,394.239990234375,394.95001220703125,390.1400146484375,390.4599914550781,74496300.0
2022-11-18,381.1233215332031,396.0299987792969,397.80999755859375,393.0400085449219,397.739990234375,92922500.0
2022-11-21,379.7373962402344,394.5899963378906,395.82000732421875,392.6600036621094,394.6400146484375,51243200.0
2022-11-22,384.84759521484375,399.8999938964844,400.07000732421875,395.1499938964844,396.6300048828125,60429000.0
